RSN,HPLVL,HPEXP,TOTLVL,TOTLVLADJ,VIRLVL,VIRLVLADJ,TOTEXP,TOTEXPADJ,CMBLVL,CMBLVLADJ,CMBEXPADJ,RSCORE,TIME
B C D F,10,1154,136,136,136,136,13050260,13050260,15,15,13050260,75,1775164294
B0 3,13,1848,988,985,988,985,4136734,4136040,18,17,131912,1075,1775164295
Baby Drumgun,10,1154,2150,2150,2181,2181,562426728,562426728,15,15,22844098,3865,1775164298
Baby Hulksje,10,1154,850,850,850,850,6395813,6395813,23,23,2383299,,1775164301
baby roka,10,1154,1929,1929,1965,1965,266716376,266716376,27,27,96428755,1885,1775164303
baits a lot,10,1154,2468,2468,2502,2502,628723988,628723988,109,109,41497072,2970,1775164304
Bald Guru,10,1160,116,116,116,116,1945940,1945934,54,54,1945923,,1775164306
Barasuishou,10,1154,898,898,911,911,171692696,171692696,71,71,60834209,,1775164308
Baumen,10,1170,2055,2055,2060,2060,246139935,246139919,115,115,67743046,,1775164313
BBR,10,1154,1368,1368,1402,1402,357984659,357984659,15,15,40685436,990,1775164315
BC,14,2261,423,419,423,419,2997005,2995898,68,67,2963879,,1775164319
BEA eggy kf,10,1320,2019,2019,2023,2023,324465607,324465441,31,31,16898899,,1775164323
Beaver Knees,10,1154,2258,2258,2317,2317,1154482158,1154482158,15,15,13036791,2220,1775164324
Bege,10,1308,1182,1182,1182,1182,9189731,9189577,82,82,4132217,,1775164326
Begrenzung,10,1154,1112,1112,1112,1112,18479184,18479184,55,55,3579738,,1775164329
Belgian,10,1163,263,263,270,270,157309085,157309076,78,78,79492327,,1775164334
below xp,10,1154,448,448,449,449,17638815,17638815,15,15,14656821,,1775164338
Bengal Kitty,10,1154,136,136,136,136,13035832,13035832,67,67,13035757,230,1775164339
Beradeira02,10,1154,315,315,315,315,4773456,4773456,55,55,2229764,,1775164344
Bergbauwelpi,10,1159,1180,1180,1189,1189,322034008,322034003,35,35,13039720,1000,1775164344
Beten,10,1157,1905,1905,1929,1929,324122403,324122400,15,15,104283860,,1775164347
BiaGodMan,10,1323,844,844,844,844,10320342,10320173,65,65,1526831,,1775164351
Bianca Lirio,10,1181,750,750,750,750,225376489,225376462,84,84,200004462,540,1775164353
BibooTax,10,1154,2444,2444,2488,2488,1023065131,1023065131,83,83,30140632,2735,1775164354
Big  Penguin,9,1108,1087,1088,1087,1088,31258553,31258599,79,79,26195615,,1775164356
Big Jiggs,10,1168,1544,1544,1544,1544,100934868,100934854,16,16,13077089,,1775164359
Black Belt,10,1316,2344,2344,2344,2344,193171619,193171457,93,93,12066211,3165,1775164363
Blazing Zoot,10,1154,879,879,879,879,18623777,18623777,15,15,13090271,615,1775164366
BLIMPNODE,10,1307,1890,1890,1959,1959,990706741,990706588,82,82,117762860,1405,1775164367
Bloodbathrul,13,1943,251,248,251,248,2519091,2518302,58,57,1474333,,1775164370
Blp K0sherr,10,1302,1224,1224,1224,1224,47537016,47536868,25,25,7541300,,1775160712
Blurbell,10,1154,189,189,189,189,30439391,30439391,37,37,30367786,,1775164373
Bob 420,10,1206,1815,1815,1815,1815,45974196,45974144,101,101,14142231,,1775160717
Bob Semple,10,1154,246,246,252,252,28331655,28331655,27,27,26011844,,1775160722
