RSN,HPLVL,HPEXP,TOTLVL,TOTLVLADJ,VIRLVL,VIRLVLADJ,TOTEXP,TOTEXPADJ,CMBLVL,CMBLVLADJ,CMBEXPADJ,RSCORE,TIME
Maybe 9HP,9,1000,1545,1546,1545,1546,42531206,42531360,78,78,26520280,1045,1775165326
MayorRice,10,1162,2152,2152,2167,2167,386735546,386735538,52,52,44334738,4585,1775165329
McGuff,9,1000,1787,1788,1797,1798,148685733,148685887,88,88,41188903,1710,1775165329
Meldrakor,13,1968,435,432,435,432,3706098,3705284,63,63,3481386,,1775165333
Mendon,10,1167,1676,1676,1688,1688,387518678,387518665,15,15,13330624,,1775165338
meowowowo,14,2144,614,610,614,610,206012071,206011081,86,85,200007747,475,1775165339
Mercedes 2,12,1795,2567,2565,2748,2746,2664322306,2664321665,84,84,82640528,5435,1775165340
merch dclaws,10,1181,2508,2508,2568,2568,1013519068,1013519041,92,92,69767955,4365,1775165341
Merdiane,9,1036,2680,2681,2690,2691,639433472,639433590,127,127,155450705,,1775165344
Mic Burgle,10,1344,1146,1146,1146,1146,21444574,21444384,53,53,1825013,1070,1775165345
Micahx x,10,1154,1193,1193,1193,1193,23542861,23542861,12,12,1205649,,1775165348
Micahx_x,10,1154,1193,1193,1193,1193,23542861,23542861,12,12,1205649,,1775165351
Michal w,10,1154,1786,1786,1789,1789,209210979,209210979,15,15,9724849,,1775165354
Mighty Gainz,10,1154,1720,1720,1720,1720,108300784,108300784,10,10,219955,,1775165356
Mihawk,10,1356,3122,3122,3400,3400,5600001356,5600001154,129,129,1600001154,11210,1775165357
Mijttam,10,1154,1245,1245,1245,1245,50130133,50130133,84,84,22097980,,1775165360
milhodalari,10,1163,136,136,136,136,2142046,2142037,54,54,2139591,,1775165363
Minersalmon,10,1154,2503,2503,2574,2574,969397926,969397926,91,91,78078989,2910,1775165364
mini Auri-El,10,1155,1702,1702,1702,1702,18330221,18330220,69,69,1666514,,1775165367
mini fnf,10,1205,2004,2004,2039,2039,621709626,621709575,15,15,111915005,2220,1775165368
Mini Gothit,10,1260,2155,2155,2162,2162,494328157,494328051,15,15,13040304,4210,1775165369
Mini Kierran,10,1155,2290,2290,2361,2361,861284011,861284010,27,27,125734114,4585,1775165370
Mini Meep,10,1181,2132,2132,2232,2232,1175333111,1175333084,27,27,208557639,1745,1775165371
mini nado,10,1154,1212,1212,1212,1212,11334921,11334921,68,68,2733828,,1775165374
Mini O Jelly,10,1176,2517,2517,2522,2522,364413102,364413080,116,116,57754591,4485,1775165377
MiningCouper,10,1220,733,733,751,751,323697028,323696962,39,39,55107026,855,1775165378
Miss Jess,10,1197,2365,2365,2434,2434,1160498423,1160498380,27,27,119671016,,1775165384
Moiist,10,1171,1358,1358,1358,1358,50411280,50411263,15,15,13090768,,1775165387
Moist Napkin,10,1327,1481,1481,1481,1481,108074547,108074374,43,43,351776,,1775165390
MokoJohanna,10,1203,165,165,165,165,7290029,7289980,33,33,7284321,,1775165393
Molus,9,1000,1896,1897,1924,1925,343950093,343950247,15,15,110121178,2615,1775165394
Momentable,10,1154,824,824,839,839,257710798,257710798,58,58,3759684,605,1775165395
Mommy Noodle,10,1183,1981,1981,1984,1984,134132694,134132665,95,95,19276848,1660,1775165396
MontyPython,10,1154,1850,1850,1850,1850,164865152,164865152,15,15,13049362,,1775165399
Moon Flux,10,1197,1367,1367,1367,1367,81205854,81205811,93,93,22496627,,1775161782
Moose t1,13,1891,591,588,591,588,6216939,6216202,20,20,2462049,335,1775165401
MoreOfMe,12,1689,2039,2037,2063,2061,566094342,566093807,20,19,13207267,2665,1775165403
Morphosed,10,1256,2331,2331,2567,2567,3196413490,3196413388,27,27,200001208,4355,1775165404
Mortes,10,1211,2182,2182,2190,2190,596952311,596952254,17,17,13084561,4355,1775165405
Mozbi,10,1163,2271,2271,2281,2281,647069950,647069941,27,27,26347176,1740,1775165406
Mq,10,1172,1111,1111,1191,1191,926181161,926181143,28,28,223480784,1355,1775165409
Mr Rare 9hp,9,1109,323,324,323,324,4002554,4002599,58,58,3834308,275,1775165409
MrSense,10,1193,1994,1994,1994,1994,252532685,252532646,117,117,137508355,1960,1775165411
Ms10HpCherry,10,1154,1195,1195,1200,1200,122203539,122203539,67,67,47517552,,1775165413
Mtn Dew Dew,10,1233,1179,1179,1179,1179,12023769,12023690,61,61,3562626,,1775165416
Mtxd,10,1154,1559,1559,1559,1559,39938661,39938661,78,78,7686994,1465,1775165417
Muddy Paws,10,1154,1855,1855,1855,1855,117867611,117867611,67,67,11309887,4740,1775165418
Muho,10,1154,2169,2169,2187,2187,682304313,682304313,15,15,13208468,2445,1775165419
musclz,10,1154,1231,1231,1231,1231,65495020,65495020,45,45,16560963,1120,1775165422
MuscularMan,10,1154,139,139,139,139,18197876,18197876,36,36,18197876,,1775165425
Museum,11,1485,1780,1779,1790,1789,246794436,246794105,17,17,13265203,1675,1775165432
Musicly,13,2007,860,857,860,857,40427955,40427102,16,15,13044241,,1775165434
Mvp Scrub,10,1320,1715,1715,1715,1715,83519551,83519385,89,89,29287730,1380,1775165437
My 9hp,9,1020,614,615,614,615,3546051,3546185,61,61,1924890,,1775165440
My Own Prism,10,1167,1140,1140,1140,1140,36356146,36356133,53,53,580941,,1775165444
my tiny wand,11,1487,2746,2745,2929,2928,2338569147,2338568814,105,105,417703294,8085,1775165445
Myiah,9,1000,2766,2767,2767,2768,430677821,430677975,115,116,100512265,3245,1775165448
Myskill,10,1178,1267,1267,1267,1267,37886135,37886111,15,15,13049787,,1775165451
N e O n e,10,1158,651,651,651,651,18366067,18366063,69,69,13051388,,1775165456
n3ver die 2,12,1768,672,670,672,670,38691252,38690638,67,66,12245868,,1775165458
Naiked,9,1007,2405,2406,2442,2443,917126227,917126374,73,73,152608857,4090,1775165459
Name Loobies,10,1154,291,291,291,291,27644150,27644150,68,68,16042583,220,1775165461
Nano Maghda,10,1154,662,662,662,662,22263824,22263824,67,67,20747782,,1775165465
napalisuatro,10,1194,491,491,491,491,2380529,2380489,52,52,2150167,355,1775165466
Natatra,10,1155,1706,1706,1706,1706,72594977,72594976,106,106,44671488,1270,1775165468
Nateel OSAAT,10,1154,805,805,806,806,124292146,124292146,61,61,5413130,995,1775165468
Naughtyy,10,1154,120,120,120,120,2891359,2891359,56,56,2891296,,1775165470
Ne zu Ko,10,1337,2226,2226,2242,2242,254996079,254995896,74,74,5561067,,1775165474
Necratious,11,1574,2915,2914,2935,2934,768853109,768852689,120,120,121363034,15655,1775165476
Necrautic,9,1116,2222,2223,2223,2224,315714476,315714514,118,119,113289970,1870,1775165477
Necro Monki,10,1270,2169,2169,2188,2188,739577347,739577231,90,90,181027475,,1775165479
Necroymancer,10,1154,2328,2328,2344,2344,1028119439,1028119439,80,80,381891687,3380,1775165480
necrozaeus,10,1161,1432,1432,1432,1432,86947794,86947787,67,67,13873712,1140,1775165483
Nekonyancy,10,1154,157,157,157,157,126987949,126987949,80,80,126987949,230,1775165483
Neno Skills,10,1154,1985,1985,2008,2008,313680811,313680811,27,27,55250683,2655,1775165486
Nephograph,10,1178,2240,2240,2240,2240,141546603,141546579,95,95,22882558,2270,1775165487
Nerclone,10,1154,1133,1133,1141,1141,74037117,74037117,27,27,43201238,750,1775165489
Ni HP,9,1015,2188,2189,2235,2236,829278323,829278462,27,28,161543875,,1775165492
Ninth Doctor,10,1162,2041,2041,2044,2044,231096473,231096465,63,63,1777699,3105,1775165493
Nirane Lane,10,1347,2651,2651,2676,2676,722067308,722067115,70,70,8751154,17205,1775165494
No Charm,10,1154,2198,2198,2258,2258,885497594,885497594,17,17,139840694,6310,1775165496
No Charms,10,1154,1570,1570,1580,1580,229939008,229939008,15,15,38370336,,1775165499
No HP Def,10,1154,199,199,199,199,2421719,2421719,23,23,2135856,190,1775165502
Nolife Nancy,10,1166,2213,2213,2274,2274,1007536279,1007536267,27,27,104449204,1695,1775165502
nooby prayer,10,1243,1964,1964,1993,1993,304016124,304016035,15,15,74204244,2750,1775165503
Northskills,12,1782,1008,1006,1008,1006,16316388,16315760,66,65,4916866,,1775165506
Not Maghda,10,1154,863,863,863,863,39066055,39066055,93,93,31792133,1050,1775165508
not mercyy,13,1921,712,709,712,709,3304110,3303343,31,30,277129,435,1775165510
Not Propr,10,1205,894,894,895,895,23683841,23683790,11,11,323765,685,1775165512
Not Too Far,11,1391,2561,2560,2581,2580,481906752,481906515,116,116,87188098,4315,1775165515
Notsurealt,10,1154,1191,1191,1191,1191,20715130,20715130,12,12,822013,820,1775165518
Novitae,9,1000,685,686,685,686,30325537,30325691,66,67,27104021,785,1775165519
Nowadays,10,1229,2292,2292,2334,2334,1178349345,1178349270,15,15,20904479,5675,1775165520
Nppb,10,1223,1483,1483,1483,1483,98339957,98339888,14,14,6000644,1915,1775165523
Nuageux,10,1166,849,849,849,849,6920779,6920767,12,12,1267768,,1775165525
Nubletz,10,1256,1494,1494,1494,1494,94407403,94407301,16,16,13094757,,1775165530
Number 2027,10,1154,656,656,656,656,2764103,2764103,68,68,1412644,,1775165534
nzcody,10,1159,1536,1536,1536,1536,167148059,167148054,67,67,13194406,1785,1775165536
O A tree,10,1157,1572,1572,1572,1572,55591191,55591188,27,27,23530582,1935,1775165537
oare,10,1160,2153,2153,2157,2157,245918480,245918474,72,72,29185068,1870,1775165538
Occasional69,15,2699,1140,1135,1140,1135,153054295,153052750,49,48,6021011,,1775165540
Oceanic Wolf,10,1258,2550,2550,2572,2572,573467824,573467720,67,67,54979398,4700,1775165541
Ocgarulee,10,1170,243,243,243,243,134642882,134642866,101,101,134642185,200,1775165544
of 10HP,10,1154,1405,1405,1405,1405,17848812,17848812,68,68,3979832,,1775165546
of 9HP,9,1000,731,732,731,732,14256667,14256821,68,69,13778819,,1775165550
of Ares,10,1179,1497,1497,1497,1497,50859841,50859816,43,43,403553,2030,1775165553
Of Niflheimr,10,1158,1295,1295,1296,1296,313911712,313911708,81,81,117733334,,1775165555
Oftentimes,10,1154,932,932,942,942,162890006,162890006,15,15,14388770,620,1775165556
Oh Noes 10Hp,10,1295,1914,1914,1915,1915,89913531,89913390,80,80,3935059,1965,1775165559
Old Shogun,10,1224,1640,1640,1640,1640,106686830,106686760,36,36,21629545,1555,1775165560
Oline Dillo,10,1154,314,314,314,314,11676159,11676159,62,62,6550914,,1775165565
Ollie Yay,14,2231,448,444,448,444,2993253,2992176,61,60,2880271,,1775165567
Omeni II,9,1032,1233,1234,1233,1234,26058637,26058759,70,70,2866071,,1775165571
Omfgholycrap,11,1455,1112,1111,1121,1120,56722731,56722430,15,14,2721917,765,1775165572
Omg W55,10,1154,483,483,483,483,2469402,2469402,51,51,1293978,340,1775165574
omxrta,10,1154,135,135,135,135,9220457,9220457,64,64,9220216,,1775165577
on taas,10,1154,1402,1402,1403,1403,62889718,62889718,77,77,43159149,1435,1775165579
oneehitta,10,1308,885,885,885,885,25852952,25852798,56,56,2282382,,1775165582
Ongelukkig,10,1313,1234,1234,1234,1234,43832618,43832459,16,16,13044886,920,1775165585
Oni Asbestos,10,1154,1535,1535,1535,1535,82552960,82552960,75,75,46043757,,1775165588
OniiFan,10,1162,2136,2136,2142,2142,552288696,552288688,15,15,15057273,4580,1775165588
Only 9Hp,9,1048,3056,3057,3281,3282,3944737182,3944737288,129,129,715134553,,1775165592
Only French,10,1154,1617,1617,1617,1617,68356316,68356316,67,67,54572733,1295,1775165595
Only Hatred,10,1213,776,776,776,776,36683673,36683614,12,12,1523618,595,1775165597
Only9HP,9,1000,1681,1682,1681,1682,47500352,47500506,76,76,3912360,,1775165599
OnlyRitualz,10,1173,314,314,314,314,81300456,81300437,78,78,80039102,490,1775165600
Oops 99 Pray,10,1154,1533,1533,1535,1535,122762064,122762064,15,15,8131109,1430,1775165605
Ophidean,10,1154,1963,1963,1975,1975,247278820,247278820,27,27,25614500,,1775165609
OrnateTortle,10,1341,2331,2331,2567,2567,3524956228,3524956041,15,15,200001221,5775,1775165611
OS MVTTRESS,10,1154,141,141,141,141,12469740,12469740,15,15,12469082,,1775165614
OSAAT Goober,10,1304,1718,1718,1730,1730,306615418,306615268,67,67,13041413,2870,1775165615
osb prayer,10,1154,1043,1043,1043,1043,14546299,14546299,11,11,581591,,1775165617
OSRS S0L0,10,1225,1557,1557,1557,1557,67114104,67114033,41,41,15195279,,1775165620
Otter Space,10,1308,1924,1924,1924,1924,81843896,81843742,69,69,1854442,,1775165624
Otto Mo Biel,10,1176,811,811,811,811,33181941,33181919,67,67,15789916,,1775162009
OuchHelper,11,1423,848,847,848,847,18908529,18908260,58,57,2480885,1115,1775165628
Ougly Boogly,10,1154,1995,1995,1998,1998,317899837,317899837,15,15,13981960,,1775162016
Ox snoopy xO,10,1154,1059,1059,1059,1059,16774112,16774112,71,71,9725539,,1775165634
oy ya,10,1154,2002,2002,2014,2014,456966051,456966051,16,16,13170258,2490,1775162025
P R A Y D,10,1162,1101,1101,1101,1101,43586327,43586319,67,67,13196630,800,1775165635
PacifistMoth,10,1154,288,288,288,288,2322765,2322765,32,32,2223106,,1775165641
Pamiina,15,2477,1272,1267,1305,1300,528847742,528846419,17,16,7233665,1415,1775165642
Papa Drumgun,15,2542,1689,1684,1710,1705,182244783,182243395,71,70,6985264,,1775165645
Paper duck,10,1155,2230,2230,2328,2328,1223846730,1223846729,15,15,104982658,4550,1775165649
Partly Slow,9,1052,1998,1999,2002,2003,267916605,267916707,13,14,4007360,4540,1775165650
Peaceful Ali,10,1154,976,976,976,976,42927353,42927353,15,15,13036034,,1775165654
Peachy Kleen,10,1187,2190,2190,2195,2195,671829411,671829378,15,15,13674445,4930,1775165655
pepe ez 999x,10,1268,351,351,372,372,122995761,122995647,15,15,104366416,355,1775165655
Pepsi Bear4U,10,1154,369,369,369,369,3037489,3037489,28,28,2464663,,1775165658
Percivalde,13,1849,574,571,574,571,5808197,5807502,18,18,1855931,320,1775165659
Pernicis,10,1354,2314,2314,2467,2467,2373570105,2373569905,16,16,200001514,8910,1775165661
Pernicis V,10,1159,1562,1562,1579,1579,119348445,119348440,15,15,77155405,,1775165665
Pernicis v1,10,1230,2309,2309,2363,2363,960544275,960544199,27,27,126865760,6730,1775165665
Pernicis v2,10,1154,1029,1029,1029,1029,25585586,25585586,15,15,8852604,,1775165669
Phaded,10,1181,1043,1043,1043,1043,23740617,23740590,23,23,13817440,,1775165673
Phaimos,10,1154,293,293,293,293,22023745,22023745,69,69,19139932,205,1775165674
Pillowcase,10,1154,1823,1823,1874,1874,469368694,469368694,15,15,26851411,1685,1775165679
Pinkki Hattu,10,1164,1939,1939,1973,1973,401337412,401337402,27,27,30219493,,1775165682
Pioc,10,1168,1628,1628,1628,1628,76975809,76975795,15,15,11034476,3470,1775165685
pippelipenis,10,1166,2785,2785,2789,2789,466985257,466985245,116,116,105543546,3590,1775165686
Piranesi,10,1194,1931,1931,1933,1933,203448523,203448483,15,15,14773259,2780,1775165687
Pixel bones,10,1183,1744,1744,1745,1745,158322943,158322914,17,17,14436819,1555,1775165688
pknuckle20,10,1212,234,234,234,234,18774638,18774580,46,46,18774018,,1775165691
ploppers rs,10,1308,2042,2042,2054,2054,295397181,295397027,24,24,14437071,3475,1775165692
Plow Crow,10,1164,1091,1091,1091,1091,102125267,102125257,76,76,55472934,,1775165695
Plz Lagg,10,1338,1322,1322,1322,1322,32451170,32450986,36,36,6022133,1360,1775165696
Pocket Cucco,10,1178,2891,2891,2965,2965,1379294156,1379294132,124,124,302352435,,1775165700
Poignant,10,1210,1603,1603,1603,1603,41330964,41330908,50,50,239933,1710,1775165702
Poky,10,1351,1893,1893,1894,1894,149595448,149595251,27,27,17205565,2395,1775165705
Poms,10,1154,2755,2755,2959,2959,2375661522,2375661522,95,95,134237717,9200,1775165707
Poor Living,10,1173,826,826,826,826,2618458,2618439,48,48,427410,1570,1775165709
Powerhouse,10,1300,3122,3122,3400,3400,5600001300,5600001154,129,129,1600001154,13255,1775165712
Pray 4cash,10,1154,382,382,384,384,19173829,19173829,15,15,16107721,,1775165716
Pray Destiny,10,1221,1785,1785,1793,1793,231605339,231605272,15,15,14343528,,1775165722
Pray Dream,10,1154,777,777,787,787,168234315,168234315,15,15,13044574,515,1775165723
Pray Early,10,1154,1876,1876,1878,1878,116718674,116718674,61,61,15645307,1815,1775165724
Pray xp,10,1154,136,136,136,136,13035947,13035947,15,15,13035947,,1775165728
Prayer queen,10,1168,500,500,500,500,14177707,14177693,15,15,13264318,,1775165732
Prayer Smexy,10,1213,571,571,571,571,15825553,15825494,15,15,13036665,,1775165734
PrayerVibes,10,1154,2182,2182,2232,2232,681354696,681354696,19,19,139011409,,1775165737
PrayForLoots,10,1154,1408,1408,1408,1408,87019260,87019260,54,54,1936047,1365,1775165740
PrayForMee,10,1185,1990,1990,2020,2020,511428456,511428425,17,17,51672293,2275,1775165743
Priestessies,10,1155,272,272,272,272,14304048,14304047,76,76,14262263,260,1775165747
PrinsVitoria,13,1971,2137,2134,2153,2150,496538736,496537919,33,33,19384247,1620,1775165748
Pro novato,10,1171,1907,1907,1928,1928,263551341,263551324,19,19,104549076,2385,1775165750
Pumpyyyy,10,1154,240,240,242,242,17222617,17222617,15,15,16426683,200,1775165752
Punsch,10,1154,1604,1604,1604,1604,59756680,59756680,35,35,13153044,1740,1775165752
puny armor,10,1154,126,126,126,126,5301294,5301294,25,25,5301294,,1775165755
Pure F,11,1377,2367,2366,2390,2389,699809528,699809305,93,93,213256666,2670,1775165757
Pure Fishing,10,1154,327,327,341,341,75136293,75136293,33,33,9585637,,1775165762
Pure Rain,10,1222,1306,1306,1306,1306,46165366,46165298,67,67,29113028,,1775165764
Pure Str Is,10,1166,1064,1064,1064,1064,41286509,41286497,30,30,2953750,,1775165767
Purranoid,10,1154,2555,2555,2555,2555,432929183,432929183,108,108,32183938,3150,1775165768
Puthaw,10,1154,586,586,607,607,114494647,114494647,15,15,104274470,,1775165772
PvM Zombie,10,1195,901,901,901,901,17528435,17528394,62,62,1830984,725,1775165775
PvPs,10,1284,1420,1420,1420,1420,112366195,112366065,16,16,13092806,1220,1775165778
Pway,10,1161,2057,2057,2073,2073,376229740,376229733,15,15,20028977,2420,1775165779
Qinosaur,10,1156,1742,1742,1742,1742,117967867,117967865,30,30,8018003,,1775165782
R o y,10,1154,2324,2324,2560,2560,3735982495,3735982495,15,15,200001154,6730,1775165785
R0seland,13,2077,602,599,602,599,2068164,2067241,50,49,1613103,,1775165790
R3v Mag3r,11,1374,870,869,870,869,17017381,17017161,82,82,15221468,940,1775165793
Rackades,10,1268,1127,1127,1127,1127,26023919,26023805,80,80,19161279,1680,1775165794
Rad Jr,10,1154,1741,1741,1741,1741,123016714,123016714,21,21,13127285,1835,1775165796
Railyards,10,1154,421,421,421,421,45034105,45034105,67,67,26872611,,1775165800
Ramlajh,10,1339,2346,2346,2357,2357,254042300,254042115,89,89,7341596,4245,1775165803
rAND0MIH3RO,10,1154,320,320,320,320,29597765,29597765,69,69,18623624,170,1775165804
rAND0MIHERO3,10,1154,402,402,402,402,54761427,54761427,71,71,27103024,225,1775165805
rAND0MIHERO4,10,1154,349,349,349,349,44975939,44975939,70,70,22760531,200,1775165806
Rangedston,10,1154,1263,1263,1263,1263,30224396,30224396,67,67,13067324,,1775165809
Rare Unit,9,1104,155,156,155,156,1257412,1257462,52,52,1245926,,1775165812
RareSkillerJ,10,1157,1549,1549,1549,1549,96179420,96179417,15,15,13050113,,1775165815
Raw Dog,11,1443,2617,2616,2618,2617,474057625,474057336,104,103,26877455,,1775165818
Rciky,10,1154,2286,2286,2348,2348,1325458928,1325458928,42,42,200001154,5010,1775165820
redemjam,10,1163,1520,1520,1520,1520,25663995,25663986,68,68,1412581,,1775165823
Regirocks,14,2297,2874,2870,2905,2901,911025240,911024097,120,119,122157311,11570,1775165823
Remain 10HP,10,1286,2981,2981,3132,3132,2119639055,2119638923,129,129,333330559,3630,1775165824
ResQ,11,1403,2495,2494,2548,2547,845890845,845890596,102,102,150089383,,1775165827
Ribbut,10,1197,2267,2267,2267,2267,157206207,157206164,94,94,11625538,4160,1775165828
Risake,11,1467,1269,1268,1269,1268,26863532,26863219,32,32,2605355,,1775165832
Risharia,10,1154,1268,1268,1270,1270,80700363,80700363,56,56,2727046,1070,1775165835
Rolosaur,10,1154,1598,1598,1599,1599,141279249,141279249,13,13,170147,1585,1775165836
Roolicious,10,1154,2294,2294,2452,2452,2652359810,2652359810,15,15,200001156,5580,1775165837
Royal Navy,10,1192,2005,2005,2009,2009,246152829,246152791,69,69,33264454,,1775165842
RShoo,10,1171,2936,2936,2984,2984,1111232142,1111232125,129,129,288507578,3140,1775165843
RsNecro,10,1154,117,117,117,117,2077422,2077422,54,54,2077422,,1775165846
Runecraft,10,1154,1046,1046,1046,1046,27016543,27016543,13,13,3592770,760,1775165850
RuniteTrucks,10,1154,250,250,251,251,50772739,50772739,30,30,3596970,205,1775165851
Runningamuck,10,1266,1120,1120,1122,1122,44932694,44932582,97,97,19666876,1215,1775165854
Rusty Romeo,9,1054,2245,2246,2245,2246,139605964,139606064,94,94,10938077,8415,1775165855
RuueScape,10,1154,1346,1346,1346,1346,141537781,141537781,72,72,62661213,,1775162250
RyanWilliams,9,1000,876,877,876,877,56628967,56629121,84,84,28841167,705,1775165857
ryeora,10,1158,1767,1767,1773,1773,221272999,221272995,88,88,32659224,1435,1775165859
Ryleighhhh,10,1154,1511,1511,1532,1532,176779162,176779162,27,27,105269292,985,1775165860
Rysn,10,1170,2444,2444,2457,2457,856467554,856467538,78,78,14360117,7515,1775165861
Ryuichina,10,1348,165,165,165,165,7288427,7288233,33,33,7282489,,1775165864
Ryuu Lover,10,1154,314,314,314,314,18267815,18267815,15,15,13041065,215,1775165865
S-mx,9,1000,1531,1532,1531,1532,31446087,31446241,64,64,3061550,1320,1775165866
S0C,10,1154,3122,3122,3372,3372,2916125179,2916125179,129,129,834909394,3630,1775165867
Salty Ubi,10,1208,1097,1097,1097,1097,53304657,53304603,35,35,13298683,955,1775165868
Samus,10,1154,2014,2014,2043,2043,512089916,512089916,25,25,5555263,2910,1775165869
sat8n,10,1154,1336,1336,1336,1336,28862446,28862446,24,24,9269985,925,1775165869
SavageDaFool,10,1158,592,592,592,592,27598831,27598827,14,14,6663473,465,1775165870
SavSinner,10,1187,1663,1663,1663,1663,119579594,119579561,79,79,27927575,1905,1775165871
Scapelewd,9,1047,2973,2974,2976,2977,1090156045,1090156152,129,129,201919072,7265,1774289214
Scenty,10,1154,1056,1056,1056,1056,141971423,141971423,73,73,16175145,,1775165876
Scim10t4r,10,1164,517,517,517,517,52706019,52706009,87,87,17884308,,1775165879
ScoobyLvl15,10,1154,1035,1035,1038,1038,26484811,26484811,15,15,18310433,,1775165882
Seek Prayer,10,1308,1895,1895,1901,1901,187936843,187936689,15,15,13617796,1975,1775165882
Sei the Lion,10,1154,484,484,484,484,15237905,15237905,35,35,13052640,340,1775165884
Sem Rai,15,2615,2189,2184,2203,2198,531322248,531320787,28,27,13056513,,1775165888
Senseh,10,1174,1597,1597,1597,1597,97375320,97375300,16,16,13062466,,1775165891
SgtPrayaa,10,1154,570,570,570,570,4812704,4812704,13,13,2123337,445,1775165892
Shadow FSOA,10,1154,293,293,293,293,5783512,5783512,58,58,3759573,620,1775165893
shaggy711,10,1157,1113,1113,1113,1113,78588708,78588705,59,59,4038860,905,1775165896
Shamaner,11,1557,2206,2205,2206,2205,240098216,240097813,75,75,25945062,3180,1775165897
Shanegood1,10,1154,1437,1437,1437,1437,115946958,115946958,15,15,13058046,,1775165902
Shark Arrows,10,1154,141,141,141,141,21583326,21583326,70,70,21583326,130,1775165903
Shark Protec,10,1154,131,131,131,131,8524297,8524297,26,26,8524297,115,1775165904
Shark Stronk,10,1154,140,140,140,140,20693898,20693898,36,36,20693898,130,1775165905
sheldon188,10,1204,2335,2335,2547,2547,2328174341,2328174291,35,35,13101303,4050,1775165908
Shiny YXK,10,1154,598,598,598,598,7278349,7278349,29,29,2631160,,1775165910
Shroom Bar,10,1154,2132,2132,2155,2155,314677672,314677672,55,55,120281224,2025,1775165911
shy and cute,10,1254,644,644,644,644,211003564,211003464,82,82,200003318,495,1775165912
ShyPiglet,10,1154,1845,1845,1846,1846,170872334,170872334,15,15,15413244,2140,1775165913
SI7,10,1202,795,795,795,795,9742762,9742714,53,53,1308041,700,1775165916
SIayin,10,1154,1741,1741,1741,1741,199068169,199068169,78,78,22106996,1540,1775165917
sillydough,15,2727,340,335,340,335,2310137,2308564,28,27,1337169,255,1775165917
SimplyWiggle,10,1191,2239,2239,2263,2263,553927910,553927873,27,27,117788240,,1775165921
Sin To Alch,10,1283,1176,1176,1195,1195,302126419,302126290,76,76,55494784,,1775165923
Sir Wall Ace,10,1172,2249,2249,2291,2291,988330041,988330023,25,25,5356715,5795,1775165924
Siraxta,10,1205,2333,2333,2334,2334,203620922,203620871,103,103,17454650,,1775165929
SirVival,13,1894,2071,2068,2111,2108,465977637,465976897,23,23,104325241,1775,1775165933
Sitwick,10,1154,437,437,437,437,20165085,20165085,74,74,16041552,320,1775165933
Skiez jr,10,1155,1318,1318,1318,1318,13739080,13739079,50,50,357741,1615,1775165934
SkillBandit,10,1154,2331,2331,2564,2564,3022688922,3022688922,15,15,115113797,5735,1775165936
SkillDefense,10,1166,1922,1922,1951,1951,343838849,343838837,40,40,117467771,2710,1775165938
Skilling It,10,1154,2331,2331,2561,2561,2958528524,2958528524,15,15,137253882,5940,1775165939
SkillyNomad2,11,1569,656,655,656,655,3996600,3996185,56,56,2816940,,1775165942
Skkyyy,10,1206,1614,1614,1628,1628,163466968,163466916,14,14,5353725,,1775165945
SkyesSkiller,10,1154,2257,2257,2313,2313,1055003566,1055003566,15,15,62945913,1995,1775165948
Sl0wNSteady,10,1154,861,861,861,861,17560036,17560036,61,61,5625841,640,1775165949
Slayer200m,10,1154,2331,2331,2512,2512,3065958245,3065958245,15,15,24962354,5520,1775165950
sleds,9,1017,2281,2282,2293,2294,654992555,654992692,68,69,19841402,4100,1775165951
Slimeland,10,1162,1083,1083,1094,1094,74484128,74484120,30,30,2676105,,1775165955
Smithing 101,10,1154,379,379,379,379,5763884,5763884,23,23,1936350,,1775165959
Smokeyleaf69,10,1164,1940,1940,1955,1955,410288609,410288599,15,15,22774053,1505,1775165960
smol Druid,10,1159,1535,1535,1554,1554,146076324,146076319,80,80,95175852,1245,1775165961
SNHU,10,1154,1224,1224,1229,1229,30319766,30319766,27,27,22292294,,1775165965
Snipour,10,1154,891,891,891,891,23523491,23523491,57,57,4633544,580,1775165966
So Close,14,2263,2946,2942,3026,3022,1496126529,1496125420,122,121,135679808,4885,1775165968
Socials,12,1739,2354,2352,2569,2567,4200001748,4200001163,81,80,200001163,6080,1775165969
Soed,10,1166,1018,1018,1018,1018,10559824,10559812,23,23,1991096,,1775165973
soft loves,11,1516,798,797,798,797,227984854,227984492,82,82,200001706,520,1775165974
Sokolls Noob,10,1219,1690,1690,1690,1690,57400353,57400288,106,106,28056533,,1775165978
Solely Alch,10,1178,1043,1043,1043,1043,8826465,8826441,54,54,2923896,1410,1775165979
sonicfront,13,1984,275,272,275,272,4403008,4402178,63,62,4389497,,1775165983
Sonnemutter,10,1154,803,803,803,803,2519864,2519864,9,9,123309,,1775165986
SortedByAHat,9,1067,1407,1408,1407,1408,14935080,14935167,76,76,7402431,,1775165990
Souls R us,10,1212,1973,1973,2101,2101,2158788368,2158788310,15,15,200001331,2665,1775165991
Spaceling,10,1314,2149,2149,2204,2204,704167225,704167065,27,27,104670734,4095,1775165994
Speciality,10,1357,2744,2744,2768,2768,692344710,692344507,118,118,104427008,,1775165999
Spectral Elf,10,1154,361,361,361,361,36814862,36814862,72,72,2874085,,1775166002
